"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jamaal Williams","NO","100.5","354.3","2.5","18.5","93.2","0.2","0.7","59.1"
"Chase Edmonds","TB","72.3","288.0","1.5","19.4","131.6","0.4","0.1","53.1"
"Tank Bigsby","JAC","92.4","300.9","3.8","7.0","47.5","0.3","3.3","52.5"
"AJ Dillon","GB","68.7","248.6","1.7","13.2","122.0","0.1","0.1","47.6"
"Eric Gray","NYG","53.2","225.7","1.6","17.8","120.1","0.6","0.3","47.2"
"Isaiah Davis","NYJ","65.4","275.6","1.7","8.9","62.9","0.4","0.3","46.0"
"Dameon Pierce","HOU","74.2","259.1","1.9","9.8","71.7","0.1","0.2","45.0"
"Ty Johnson","BUF","45.3","194.0","1.4","15.1","143.9","0.5","0.3","44.4"
"Trey Sermon","IND","66.7","301.6","1.5","5.3","33.4","0.1","0.1","42.8"
"D'Ernest Johnson","JAC","54.6","242.2","1.3","8.8","62.4","0.2","0.2","39.2"
"Ameer Abdullah","LV","35.9","163.4","0.3","19.4","143.0","0.3","0.1","34.3"
"Audric Estime","DEN","46.5","194.8","1.1","6.5","55.6","0.6","0.5","34.2"
"Dare Ogunbowale","HOU","39.1","158.5","0.9","12.0","88.4","0.4","0.2","31.9"
"Trayveon Williams","CIN","38.5","168.0","1.3","9.2","59.4","0.3","0.2","31.5"
"Kyle Juszczyk","SF","5.9","20.4","0.1","20.3","193.7","1.5","0.0","31.2"
"Deuce Vaughn","DAL","43.6","159.0","0.9","11.6","87.4","0.3","0.6","30.8"
"Emari Demercado","ARI","34.2","147.9","1.3","13.0","81.2","0.1","0.0","30.7"
"Andrew Beck","HOU","4.5","9.9","1.1","13.7","123.1","2.1","1.5","29.3"
"Michael Carter","ARI","34.4","153.9","1.0","11.1","68.4","0.2","0.1","29.1"
"Nyheim Hines","CLE","28.9","102.7","0.9","15.3","115.3","0.4","0.1","29.1"
"Kendall Milton","PHI","33.0","142.0","2.0","2.0","24.0","0.0","0.0","28.6"
"Will Shipley","PHI","34.9","150.2","1.4","4.9","40.0","0.2","0.1","28.4"
"Jordan Mason","SF","34.7","163.4","1.7","2.4","15.9","0.1","0.1","28.3"
"Jeremy McNichols","WAS","26.0","105.0","0.0","14.0","116.0","1.0","0.0","28.1"
"Chris Rodriguez Jr.","WAS","26.8","116.1","0.8","12.1","85.6","0.4","0.2","26.9"
"Evan Hull","IND","27.0","115.2","0.8","11.4","80.1","0.4","0.2","26.6"
"Craig Reynolds","DET","33.4","139.8","1.1","5.1","43.6","0.1","0.1","25.7"
"Ronnie Rivers","LAR","37.7","153.5","0.9","6.2","46.1","0.1","0.0","25.5"
"Cordarrelle Patterson","PIT","29.6","124.7","1.0","7.3","54.1","0.3","0.2","25.3"
"Isaiah Spiller","LAC","45.9","161.0","0.9","5.1","30.1","0.1","0.1","24.9"
"Pierre Strong Jr.","CLE","35.0","173.0","1.0","1.0","8.0","0.0","0.0","24.1"
"Kenny McIntosh","SEA","27.4","114.5","0.8","8.3","58.2","0.3","0.2","23.9"
"Jase McClellan","ATL","33.0","142.0","1.0","3.2","28.2","0.1","0.1","23.7"
"Cody Schrader","SF","33.0","146.0","1.0","2.0","27.0","0.0","0.0","23.3"
"Julius Chestnut","TEN","26.3","110.3","0.8","8.8","61.4","0.3","0.2","23.0"
"Nick Bawden","NYJ","6.0","17.0","3.0","3.0","25.0","0.0","0.0","22.2"
"Isaac Guerendo","SF","29.9","131.1","1.0","2.8","27.0","0.1","0.1","22.1"
"Rasheen Ali","BAL","26.4","125.9","0.7","3.8","31.8","0.1","0.0","21.0"
"Hunter Luepke","DAL","9.6","33.0","2.1","6.3","43.6","0.1","0.0","20.6"
"Royce Freeman","DAL","27.8","116.2","0.8","4.4","30.7","0.1","0.1","20.1"
"Kevin Harris","NE","22.6","94.7","0.5","7.9","57.6","0.2","0.1","19.4"
"Israel Abanikanda","NYJ","25.0","107.0","0.8","4.1","29.0","0.2","0.1","19.1"
"Jeff Wilson Jr.","MIA","20.3","98.3","0.7","3.3","25.2","0.1","0.0","17.0"
"Keaontay Ingram","KC","21.7","89.7","0.6","4.4","30.1","0.2","0.1","16.6"
"Dylan Laube","LV","15.0","61.5","0.3","8.5","60.1","0.3","0.1","15.5"
"Zander Horvath","NO","7.0","17.0","0.0","3.0","8.0","2.0","0.0","14.5"
"Myles Gaskin","MIN","21.6","85.6","0.5","2.1","14.2","0.1","0.1","13.4"
"Chris Evans","CIN","13.6","58.3","0.5","4.5","30.9","0.2","0.1","12.8"
"Alec Ingold","MIA","0.0","0.0","0.0","13.1","95.1","0.4","0.1","12.1"
"Sean Tucker","TB","11.0","46.8","0.3","4.2","29.5","0.2","0.1","10.6"
"Rashaad Penny","CAR","11.9","59.3","0.4","2.0","14.1","0.1","0.1","9.8"
"Deneric Prince","KC","10.9","45.1","0.4","2.2","15.3","0.1","0.1","8.6"
"Darrynton Evans","BUF","7.9","32.8","0.3","4.0","29.0","0.2","0.0","8.6"
"Kene Nwangwu","MIN","10.8","45.6","0.3","2.1","14.5","0.1","0.1","8.3"
"Kimani Vidal","LAC","12.5","51.8","0.2","2.0","13.7","0.1","0.1","8.2"
"Michael Burton","DEN","7.7","31.9","0.2","4.3","28.8","0.2","0.1","8.1"
"Dante Miller","NYG","7.1","29.3","0.2","4.2","28.2","0.2","0.1","7.9"
"JaMycal Hasty","NE","7.5","31.9","0.2","3.8","25.6","0.1","0.1","7.5"
"Avery Williams","ATL","4.0","17.4","0.2","4.4","29.7","0.2","0.0","6.7"
"Adam Prentice","NO","4.3","18.6","0.1","4.4","31.6","0.2","0.0","6.5"
"Travis Homer","CHI","3.9","17.3","0.1","4.1","29.1","0.1","0.0","6.0"
"Sione Vaki","DET","8.5","35.5","0.3","0.0","0.0","0.0","0.0","5.2"
""
""
