"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Darius Slayton","NYG","45.8","678.8","3.7","0.0","0.0","0.0","0.2","89.6"
"Jahan Dotson","WAS","49.9","600.1","4.9","0.0","0.0","0.0","0.2","88.9"
"Adonai Mitchell","IND","47.2","687.7","3.6","1.0","5.5","0.0","1.1","88.8"
"Wan'Dale Robinson","NYG","66.7","625.0","2.7","7.8","64.6","0.7","0.3","88.4"
"Xavier Legette","CAR","47.8","649.8","3.3","4.2","24.5","0.2","1.2","85.8"
"Michael Wilson","ARI","47.9","629.1","3.9","0.0","0.0","0.0","0.3","85.7"
"Marvin Mims Jr.","DEN","48.8","644.5","2.7","7.7","44.4","0.3","0.6","85.6"
"Quentin Johnston","LAC","46.9","601.5","3.9","2.6","10.7","0.0","0.3","84.3"
"Jermaine Burton","CIN","46.9","608.9","3.8","1.0","3.5","0.0","0.6","82.5"
"Rashod Bateman","BAL","46.3","615.8","3.3","0.5","7.0","0.0","0.2","81.9"
"Josh Downs","IND","56.4","651.6","2.7","0.0","0.0","0.0","0.2","81.0"
"Odell Beckham Jr.","MIA","39.0","571.4","3.7","0.0","1.0","0.0","0.7","78.2"
"Jalen Tolbert","DAL","43.2","573.4","3.5","0.0","0.0","0.0","0.5","77.2"
"Tim Patrick","DEN","37.3","490.3","4.5","0.0","0.0","0.0","0.1","76.0"
"Dontayvion Wicks","GB","36.9","502.8","4.5","0.5","0.5","0.0","0.7","75.7"
"Zay Jones","ARI","51.6","537.4","3.6","0.5","2.5","0.0","0.2","75.3"
"Rondale Moore","ATL","42.5","443.6","2.8","16.7","93.3","0.7","0.3","74.0"
"Brandon Johnson","DEN","26.0","373.0","6.0","0.0","0.0","0.0","0.0","73.3"
"Noah Brown","HOU","34.7","558.0","2.8","0.5","0.0","0.0","0.1","72.4"
"Ja'Lynn Polk","NE","47.0","582.3","2.4","1.0","4.5","0.0","0.7","71.8"
"Elijah Moore","CLE","44.7","547.1","2.8","6.1","19.9","0.1","1.2","71.5"
"Roman Wilson","PIT","41.1","545.6","3.0","1.0","5.5","0.0","1.1","70.7"
"Jalin Hyatt","NYG","38.5","550.8","2.3","0.0","0.0","0.0","0.3","68.4"
"Trey Palmer","TB","38.2","486.9","2.9","3.9","24.5","0.2","0.5","68.4"
"Tyler Boyd","TEN","50.8","549.1","2.1","1.9","11.0","0.0","0.2","68.3"
"Malachi Corley","NYJ","38.9","438.0","2.8","8.8","53.8","0.4","0.3","68.1"
"Robert Woods","HOU","43.0","483.0","3.0","2.0","11.0","0.0","0.0","67.4"
"Marquez Callaway","PIT","36.0","470.0","3.0","0.0","0.0","0.0","0.0","65.0"
"Josh Reynolds","DEN","32.1","430.0","3.6","0.0","0.0","0.0","0.6","63.2"
"Troy Franklin","DEN","37.7","486.2","2.6","1.0","5.0","0.0","1.1","62.5"
"Ricky Pearsall","SF","29.9","440.0","2.8","3.4","20.5","0.1","1.1","61.6"
"KaVontae Turpin","DAL","22.7","260.7","3.8","10.7","92.8","0.7","0.6","61.1"
"Jalen McMillan","TB","36.2","441.5","2.8","0.0","0.0","0.0","0.2","60.3"
"Luke McCaffrey","WAS","38.3","459.2","2.0","0.0","0.0","0.0","0.2","57.4"
"A.T. Perry","NO","21.8","349.0","3.2","0.5","1.5","0.0","0.0","54.0"
"Nelson Agholor","BAL","28.9","367.8","2.6","0.0","0.0","0.0","0.3","51.7"
"Van Jefferson","PIT","27.6","402.6","2.0","0.0","0.0","0.0","0.3","51.6"
"Jonathan Mingo","CAR","35.9","413.2","1.7","0.0","0.0","0.0","0.1","51.2"
"Greg Dortch","ARI","31.7","343.9","2.4","3.5","22.8","0.1","0.1","51.1"
"Kalif Raymond","DET","32.4","359.5","1.8","4.5","30.1","0.2","0.4","50.1"
"Cedrick Wilson Jr.","NO","24.1","305.3","3.1","0.5","1.5","0.0","0.1","49.1"
"Trenton Irwin","CIN","25.9","332.1","2.1","0.0","1.0","0.0","0.1","45.8"
"Alec Pierce","IND","19.9","319.1","1.9","0.0","0.0","0.0","0.1","43.1"
"Michael Gallup","LV","27.2","326.2","1.2","0.0","0.0","0.0","0.2","39.3"
"Andrei Iosivas","CIN","22.9","253.6","2.0","0.0","0.0","0.0","0.3","36.8"
"Tutu Atwell","LAR","20.0","268.6","1.4","2.1","12.2","0.1","0.2","36.4"
"Calvin Austin III","PIT","18.0","236.6","0.9","9.0","53.8","0.4","0.3","36.2"
"Jamison Crowder","WAS","29.9","291.9","1.1","0.0","0.0","0.0","0.3","34.8"
"Devontez Walker","BAL","18.8","228.2","1.6","0.0","0.0","0.0","0.1","32.2"
"Justin Watson","KC","15.2","218.5","1.7","0.0","0.0","0.0","0.2","32.0"
"KhaDarel Hodge","ATL","17.6","230.6","1.5","0.0","0.0","0.0","0.2","31.6"
"Treylon Burks","TEN","17.4","237.2","0.8","3.5","21.1","0.1","0.2","31.1"
"Bub Means","NO","18.1","217.9","1.5","0.0","0.0","0.0","0.1","30.4"
"Tre Tucker","LV","13.4","163.7","0.7","12.0","76.9","0.5","0.3","30.4"
"Jake Bobo","SEA","14.7","158.5","1.0","8.4","51.1","0.5","0.2","29.9"
"Xavier Gipson","NYJ","13.7","167.5","1.4","4.4","28.4","0.3","0.2","29.6"
"Brandon Powell","MIN","18.8","190.8","1.1","3.9","21.1","0.1","0.3","27.9"
"Jauan Jennings","SF","15.5","195.5","1.2","0.0","0.0","0.0","0.2","26.1"
"Derius Davis","LAC","10.8","111.1","0.8","13.4","85.9","0.3","0.2","25.9"
"Marquez Valdes-Scantling","BUF","11.8","193.3","1.1","0.0","0.0","0.0","0.1","25.9"
"Parris Campbell","PHI","17.1","169.1","0.9","0.0","0.0","0.0","0.2","22.0"
"Cedric Tillman","CLE","12.3","155.8","1.0","0.0","0.0","0.0","0.1","21.0"
"Ryan Flournoy","DAL","11.2","133.7","1.0","0.0","0.0","0.0","0.1","19.2"
"Jason Brownlee","NYJ","10.8","125.5","1.1","0.0","0.0","0.0","0.1","18.7"
"Malik Washington","MIA","10.4","124.4","0.7","2.1","12.5","0.1","0.1","18.5"
"Bo Melton","GB","9.8","114.3","0.8","2.1","13.0","0.1","0.1","17.7"
"Trent Sherfield Sr.","MIN","9.7","126.9","0.8","0.0","0.0","0.0","0.1","17.1"
"Devin Duvernay","JAC","11.6","111.1","0.7","2.0","13.1","0.1","0.1","16.8"
