Date,Redraft PPR ADP,Redraft SF ADP,Redraft Half PPR ADP,Player Team,Player First Name,Player Last Name,Fantasy Player Position,Positional Rank
21-Aug-24,80.4,25.6,82.5,GB,Jordan,Love,QB,QB10
21-Aug-24,81.9,103.6,75.6,MIA,Raheem,Mostert,RB,RB25
21-Aug-24,82.2,93.9,73.8,LV,Zamir,White,RB,RB26
21-Aug-24,83.4,94.8,80.2,TEN,Calvin,Ridley,WR,WR38
21-Aug-24,84,87.4,87.6,CLE,David,Njoku,TE,TE10
21-Aug-24,85.1,99.7,83.5,MIN,Jordan,Addison,WR,WR39
21-Aug-24,86.6,85,85.5,DAL,Jake,Ferguson,TE,TE11
21-Aug-24,87,107.8,86.7,CLE,Nick,Chubb,RB,RB27
21-Aug-24,88.3,97.5,88,LAC,Ladd,McConkey,WR,WR40
21-Aug-24,89.8,92.7,92.1,KC,Hollywood,Brown,WR,WR41
21-Aug-24,90.2,29.8,97.5,SF,Brock,Purdy,QB,QB11
21-Aug-24,90.2,109.5,90.4,DEN,Javonte,Williams,RB,RB28
21-Aug-24,92.8,111.3,89,CIN,Zack,Moss,RB,RB29
21-Aug-24,93.8,113.6,95.5,WAS,Austin,Ekeler,RB,RB30
21-Aug-24,94.1,111.5,97.6,BUF,Keon,Coleman,WR,WR42
21-Aug-24,95,103.9,94.7,CAR,Diontae,Johnson,WR,WR43
21-Aug-24,96.9,114.5,101.6,TEN,DeAndre,Hopkins,WR,WR44
21-Aug-24,97.1,98.9,90,CAR,Jonathon,Brooks,RB,RB31
21-Aug-24,97.7,105.5,93.4,PIT,Jaylen,Warren,RB,RB32
21-Aug-24,99.5,116.6,96.5,NYG,Devin,Singletary,RB,RB33
21-Aug-24,100.8,115.2,102.2,SEA,Jaxon,Smith-Njigba,WR,WR45
21-Aug-24,101.4,38.6,99.4,CHI,Caleb,Williams,QB,QB12
21-Aug-24,102.2,110.7,107.4,PHI,Dallas,Goedert,TE,TE12
21-Aug-24,103.8,117.8,100.5,GB,Christian,Watson,WR,WR46
21-Aug-24,104.3,37.2,106.1,MIA,Tua,Tagovailoa,QB,QB13
21-Aug-24,104.6,119.5,104.5,JAX,Brian,Thomas,WR,WR47
21-Aug-24,106.7,118.6,118,HOU,Dalton,Schultz,TE,TE13
21-Aug-24,107.8,119.4,108.4,TEN,Tyjae,Spears,RB,RB34
21-Aug-24,108.8,126.1,103.9,WAS,Brian,Robinson,RB,RB35
21-Aug-24,109.9,39.4,113.8,DET,Jared,Goff,QB,QB14
21-Aug-24,110.2,106.2,118.7,MIN,T.J.,Hockenson,TE,TE14
21-Aug-24,111.2,125.4,111.1,DET,Jameson,Williams,WR,WR48
21-Aug-24,111.7,130.2,109.7,ARI,Trey,Benson,RB,RB36
21-Aug-24,113.5,123.3,104.3,LAC,Gus,Edwards,RB,RB37
21-Aug-24,114.3,127.9,110.8,DAL,Ezekiel,Elliott,RB,RB38
21-Aug-24,115.1,51.1,112,WAS,Jayden,Daniels,QB,QB15
21-Aug-24,116.8,132.6,114.2,DEN,Courtland,Sutton,WR,WR49
21-Aug-24,117.4,140.5,120,BUF,Curtis,Samuel,WR,WR50
21-Aug-24,118.4,135,117,CIN,Chase,Brown,RB,RB39
21-Aug-24,118.6,135.1,121.5,GB,Romeo,Doubs,WR,WR51
21-Aug-24,120.1,138.5,115.3,LAR,Blake,Corum,RB,RB40
21-Aug-24,121.5,127.7,129.7,CHI,Cole,Kmet,TE,TE15
21-Aug-24,122.7,139.4,116,CLE,Jerome,Ford,RB,RB41
21-Aug-24,123.9,134.5,122.5,SEA,Tyler,Lockett,WR,WR52
21-Aug-24,124,36.8,123,LAC,Justin,Herbert,QB,QB16
21-Aug-24,125.7,50.1,127,JAX,Trevor,Lawrence,QB,QB17
21-Aug-24,125.8,124.7,124.9,PIT,Pat,Freiermuth,TE,TE16
21-Aug-24,132.6,247.5,132.6,BAL,Justin,Tucker,K,K1
21-Aug-24,134.6,249.4,134.6,KC,Harrison,Butker,K,K2
21-Aug-24,138.8,247.8,138.8,DAL,Brandon,Aubrey,K,K3
21-Aug-24,139.1,250.9,139.1,CIN,Evan,McPherson,K,K4
21-Aug-24,142.7,142.8,125.9,BUF,Khalil,Shakir,WR,WR53
21-Aug-24,142.8,252.9,142.8,ATL,Younghoe,Koo,K,K5
21-Aug-24,145.7,151.9,125.4,IND,Adonai,Mitchell,WR,WR54
21-Aug-24,146.3,143.1,144.5,LV,Jakobi,Meyers,WR,WR55
21-Aug-24,148.6,75.9,150.4,NYJ,Aaron,Rodgers,QB,QB18
21-Aug-24,149.2,147.7,148.7,CLE,Jerry,Jeudy,WR,WR56
21-Aug-24,150.6,143.3,128.8,SEA,Zach,Charbonnet,RB,RB42
21-Aug-24,151.8,153.9,145.4,LAC,Joshua,Palmer,WR,WR57
21-Aug-24,152.2,148.9,149.2,CAR,Xavier,Legette,WR,WR58
21-Aug-24,153.4,151.3,130.6,CAR,Chuba,Hubbard,RB,RB43
21-Aug-24,153.5,141.2,153.9,GB,Luke,Musgrave,TE,TE17
21-Aug-24,155.3,158.7,131.8,LAC,J.K.,Dobbins,RB,RB44
21-Aug-24,156.6,161.6,155.6,,,,,0
21-Aug-24,156.8,145.7,147,NYJ,Mike,Williams,WR,WR59
21-Aug-24,157.4,67.7,152.8,ATL,Kirk,Cousins,QB,QB19
21-Aug-24,159.7,253.9,159.7,PHI,Jake,Elliott,K,K6
21-Aug-24,160.2,163.1,146.6,DAL,Rico,Dowdle,RB,RB45
21-Aug-24,160.5,251.4,160.5,SF,Jake,Moody,K,K7
21-Aug-24,162.8,65.3,166.3,LAR,Matthew,Stafford,QB,QB20
21-Aug-24,163.4,162.5,155.2,MIA,Jaylen,Wright,RB,RB46
21-Aug-24,163.9,254.3,163.9,HOU,Ka'imi,Fairbairn,K,K8
21-Aug-24,164.1,255.5,164.1,LAC,Cameron,Dicker,K,K9
21-Aug-24,164.2,159.3,157.8,JAX,Gabe,Davis,WR,WR60
21-Aug-24,164.7,165.7,166.7,,,,,0
21-Aug-24,165.2,146.6,151.7,NO,Rashid,Shaheed,WR,WR61
21-Aug-24,165.4,290.7,165.4,BUF,Tyler,Bass,K,K10
21-Aug-24,166.3,167.3,167.7,NE,Ja'Lynn,Polk,WR,WR62
21-Aug-24,167.1,79,178.6,TB,Baker,Mayfield,QB,QB21
21-Aug-24,167.6,170.5,153,MIN,Ty,Chandler,RB,RB47
21-Aug-24,169.5,173.4,156.9,ATL,Tyler,Allgeier,RB,RB48
21-Aug-24,170.8,159.7,177.8,WAS,Ben,Sinnott,TE,TE18
21-Aug-24,171.8,161.5,158.7,DAL,Brandin,Cooks,WR,WR63
21-Aug-24,172.7,175.6,179.3,CAR,Adam,Thielen,WR,WR64
21-Aug-24,173.9,164.3,172.9,IND,Josh,Downs,WR,WR65
21-Aug-24,174,154.5,190.3,TB,Cade,Otton,TE,TE19
21-Aug-24,179.5,165.8,169.7,GB,Dontayvion,Wicks,WR,WR66
21-Aug-24,181,182.3,192.9,BAL,Isaiah,Likely,TE,TE20
21-Aug-24,181.1,86.9,188.9,CLE,Deshaun,Watson,QB,QB22
21-Aug-24,183.2,155.1,167.9,NO,Taysom,Hill,TE,TE21
21-Aug-24,184.7,169.4,176.4,SF,Ricky,Pearsall,WR,WR67
21-Aug-24,185.5,166.3,174.3,NE,Antonio,Gibson,RB,RB49
21-Aug-24,186.4,156.7,173.1,NO,Kendre,Miller,RB,RB50
21-Aug-24,187.2,157.2,170.3,PHI,Jahan,Dotson,WR,WR68
21-Aug-24,188,177.8,194.7,NE,Hunter,Henry,TE,TE22
21-Aug-24,188.5,174.9,175,DEN,Jaleel,McLaughlin,RB,RB51
21-Aug-24,188.7,289.2,188.7,MIA,Jason,Sanders,K,K11
21-Aug-24,190.6,172.9,181.6,DEN,Troy,Franklin,WR,WR69
21-Aug-24,191.9,171.2,171.9,GB,MarShawn,Lloyd,RB,RB52
21-Aug-24,192.6,181.5,181.6,ATL,Darnell,Mooney,WR,WR70
21-Aug-24,193.4,178.7,202.4,NYJ,Tyler,Conklin,TE,TE23
21-Aug-24,194.6,180.3,180,LAC,Kimani,Vidal,RB,RB53
21-Aug-24,195.2,167.3,193.8,LAC,Quentin,Johnston,WR,WR71
21-Aug-24,195.4,183.6,195.3,NE,DeMario,Douglas,WR,WR72
21-Aug-24,197.1,187.7,183.5,BUF,Ray,Davis,RB,RB54
21-Aug-24,198.1,205.1,205.1,DAL,Dallas,Cowboys,DEF,DEF1
21-Aug-24,198.9,207.6,191,NYJ,Braelon,Allen,RB,RB55
