Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Deneric Prince,KC,RB,7.0,-110.7,-103.8,-123.1,,,,300.0
Darrynton Evans,BUF,RB,8.100000000000001,-109.6,-102.7,-122.0,,,,300.0
Kene Nwangwu,MIN,RB,6.9,-110.8,-103.9,-123.2,,,,300.0
Kimani Vidal,LAC,RB,7.4,-110.3,-103.4,-122.7,Kimani,Vidal,LAC,183.8
Michael Burton,DEN,RB,7.9,-109.8,-102.9,-122.2,,,,300.0
Dante Miller,NYG,RB,7.700000000000001,-110.0,-103.1,-122.4,,,,300.0
JaMycal Hasty,NE,RB,7.1,-110.6,-103.7,-123.0,,,,300.0
Avery Williams,ATL,RB,6.6000000000000005,-111.1,-104.2,-123.5,,,,300.0
Adam Prentice,NO,RB,6.9,-110.8,-103.9,-123.2,,,,300.0
Travis Homer,CHI,RB,6.6000000000000005,-111.1,-104.2,-123.5,,,,300.0
Sione Vaki,DET,RB,3.5,-114.2,-107.3,-126.6,,,,300.0
CeeDee Lamb,DAL,WR,272.20000000000005,116.9,161.4,142.1,CeeDee,Lamb,DAL,5.1
Tyreek Hill,MIA,WR,257.70000000000005,102.4,146.9,127.6,Tyreek,Hill,MIA,8.7
Ja'Marr Chase,CIN,WR,238.7,83.4,127.9,108.6,Ja'Marr,Chase,CIN,10.3
Amon-Ra St Brown,DET,WR,239.9,84.6,129.1,109.8,Amon-Ra,St. Brown,DET,11.1
Justin Jefferson,MIN,WR,239.39999999999998,84.1,128.6,109.3,Justin,Jefferson,MIN,9.5
Puka Nacua,LAR,WR,224.9,69.6,114.1,94.8,Puka,Nacua,LAR,16.5
AJ Brown,PHI,WR,222.3,67.0,111.5,92.2,A.J.,Brown,PHI,17.6
Deebo Samuel,SF,WR,194.2,38.9,83.4,64.1,Deebo,Samuel,SF,55.8
Garrett Wilson,NYJ,WR,209.60000000000002,54.3,98.8,79.5,Garrett,Wilson,NYJ,20.2
Mike Evans,TB,WR,197.0,41.7,86.2,66.9,Mike,Evans,TB,43.5
