Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Tyler Higbee,LAR,TE,65.0,-48.9,-45.8,-65.1,Tyler,Higbee,LAR,268.8
Mike Gesicki,CIN,TE,51.2,-62.7,-59.6,-78.9,Mike,Gesicki,CIN,208.8
Noah Fant,SEA,TE,64.9,-49.0,-45.9,-65.2,Noah,Fant,SEA,202.6
Tucker Kraft,GB,TE,56.1,-57.8,-54.7,-74.0,Tucker,Kraft,GB,191.3
Greg Dulcich,DEN,TE,56.5,-57.4,-54.3,-73.6,Greg,Dulcich,DEN,216.3
Michael Mayer,LV,TE,53.1,-60.8,-57.7,-77.0,Michael,Mayer,LV,201.8
Gerald Everett,CHI,TE,47.2,-66.7,-63.6,-82.9,Gerald,Everett,CHI,254.8
Brevin Jordan,HOU,TE,37.0,-76.9,-73.8,-93.1,,,,300.0
Tommy Tremble,CAR,TE,36.1,-77.8,-74.7,-94.0,,,,300.0
Zach Ertz,WAS,TE,44.0,-69.9,-66.8,-86.1,Zach,Ertz,WAS,229.2
Jelani Woods,IND,TE,43.0,-70.9,-67.8,-87.1,Jelani,Woods,IND,223.2
Noah Gray,KC,TE,44.2,-69.7,-66.6,-85.9,Noah,Gray,KC,298.2
Taysom Hill,NO,TE,42.6,-71.3,-68.2,-87.5,Taysom,Hill,NO,156.6
Theo Johnson,NYG,TE,46.3,-67.6,-64.5,-83.8,Theo,Johnson,NYG,216.9
Kylen Granson,IND,TE,41.1,-72.8,-69.7,-89.0,,,,300.0
Colby Parkinson,LAR,TE,37.2,-76.7,-73.6,-92.9,Colby,Parkinson,LAR,223.3
Daniel Bellinger,NYG,TE,46.900000000000006,-67.0,-63.9,-83.2,Daniel,Bellinger,NYG,237.6
Ja'Tavion Sanders,CAR,TE,41.900000000000006,-72.0,-68.9,-88.2,Ja'Tavion,Sanders,CAR,192.1
Durham Smythe,MIA,TE,40.400000000000006,-73.5,-70.4,-89.7,,,,300.0
Elijah Higgins,ARI,TE,38.2,-75.7,-72.6,-91.9,,,,300.0
Adam Trautman,DEN,TE,32.5,-81.4,-78.3,-97.6,,,,300.0
Brock Wright,DET,TE,31.8,-82.1,-79.0,-98.3,,,,300.0
Donald Parham,LAC,TE,24.900000000000002,-89.0,-85.9,-105.2,Donald,Parham,LAC,272.0
Johnny Mundt,MIN,TE,35.3,-78.6,-75.5,-94.8,,,,300.0
Josh Oliver,MIN,TE,33.6,-80.3,-77.2,-96.5,,,,300.0
Mo Alie-Cox,IND,TE,20.8,-93.1,-90.0,-109.3,,,,300.0
Teagan Quitoriano,HOU,TE,24.400000000000002,-89.5,-86.4,-105.7,,,,300.0
Will Dissly,LAC,TE,33.1,-80.8,-77.7,-97.0,,,,300.0
Connor Heyward,PIT,TE,32.0,-81.9,-78.8,-98.1,,,,300.0
Austin Hooper,NE,TE,31.1,-82.8,-79.7,-99.0,,,,300.0
Jeremy Ruckert,NYJ,TE,26.1,-87.8,-84.7,-104.0,,,,300.0
Quintin Morris,BUF,TE,18.4,-95.5,-92.4,-111.7,,,,300.0
MyCole Pruitt,PIT,TE,15.700000000000001,-98.2,-95.1,-114.4,,,,300.0
Foster Moreau,NO,TE,22.1,-91.8,-88.7,-108.0,,,,300.0
Tanner Hudson,CIN,TE,24.5,-89.4,-86.3,-105.6,,,,300.0
Ben Sims,GB,TE,15.8,-98.1,-95.0,-114.3,,,,300.0
Stephen Sullivan,CAR,TE,23.1,-90.8,-87.7,-107.0,,,,300.0
Logan Thomas,SF,TE,19.0,-94.9,-91.8,-111.1,,,,300.0
Jordan Akins,CLE,TE,22.700000000000003,-91.2,-88.1,-107.4,,,,300.0
John Bates,WAS,TE,23.0,-90.9,-87.8,-107.1,,,,300.0
Darnell Washington,PIT,TE,21.700000000000003,-92.2,-89.1,-108.4,,,,300.0
Brenton Strange,JAX,TE,16.9,-97.0,-93.9,-113.2,,,,300.0
Luke Schoonmaker,DAL,TE,19.0,-94.9,-91.8,-111.1,,,,300.0
Stone Smartt,LAC,TE,19.0,-94.9,-91.8,-111.1,,,,300.0
Ian Thomas,CAR,TE,21.3,-92.6,-89.5,-108.8,,,,300.0
Trey Knox,MIN,TE,19.0,-94.9,-91.8,-111.1,,,,300.0
James Mitchell,DET,TE,18.9,-95.0,-91.9,-111.2,,,,300.0
Tanner McLachlan,CIN,TE,19.4,-94.5,-91.4,-110.7,,,,300.0
Pharaoh Brown,SEA,TE,19.200000000000003,-94.7,-91.6,-110.9,,,,300.0
Brayden Willis,SF,TE,17.6,-96.3,-93.2,-112.5,,,,300.0
Cameron Latu,SF,TE,17.6,-96.3,-93.2,-112.5,,,,300.0
Cade Stover,HOU,TE,18.0,-95.9,-92.8,-112.1,Cade,Stover,HOU,269.0
Robert Tonyan,MIN,TE,18.5,-95.4,-92.3,-111.6,,,,300.0
Armani Rogers,WAS,TE,17.4,-96.5,-93.4,-112.7,,,,300.0
Cole Turner,WAS,TE,17.4,-96.5,-93.4,-112.7,,,,300.0
John FitzPatrick,ATL,TE,17.8,-96.1,-93.0,-112.3,,,,300.0
Luke Farrell,JAX,TE,18.3,-95.6,-92.5,-111.8,,,,300.0
Will Mallory,IND,TE,17.1,-96.8,-93.7,-113.0,,,,300.0
Dallin Holker,NO,TE,17.3,-96.6,-93.5,-112.8,,,,300.0
Grant Calcaterra,PHI,TE,16.700000000000003,-97.2,-94.1,-113.4,,,,300.0
Payne Durham,TB,TE,17.3,-96.6,-93.5,-112.8,,,,300.0
Charlie Kolar,BAL,TE,15.4,-98.5,-95.4,-114.7,,,,300.0
Albert Okwuegbunam Jr,PHI,TE,15.8,-98.1,-95.0,-114.3,,,,300.0
Josh Whyle,TEN,TE,15.700000000000001,-98.2,-95.1,-114.4,,,,300.0
Drew Sample,CIN,TE,17.3,-96.6,-93.5,-112.8,,,,300.0
Cole Fotheringham,LV,TE,15.4,-98.5,-95.4,-114.7,,,,300.0
Ross Dwelley,ATL,TE,14.5,-99.4,-96.3,-115.6,,,,300.0
Drew Ogletree,IND,TE,15.700000000000001,-98.2,-95.1,-114.4,,,,300.0
Erick All,CIN,TE,15.3,-98.6,-95.5,-114.8,Erick,All,CIN,267.8
La'Michael Pettway,NE,TE,14.6,-99.3,-96.2,-115.5,,,,300.0
Jaheim Bell,NE,TE,14.6,-99.3,-96.2,-115.5,Jaheim,Bell,NE,300.0
CJ Uzomah,PHI,TE,11.0,-102.9,-99.8,-119.1,,,,300.0
Irv Smith Jr,KC,TE,13.8,-100.1,-97.0,-116.3,,,,300.0
AJ Barner,SEA,TE,14.200000000000001,-99.7,-96.6,-115.9,,,,300.0
Peyton Hendershot,DAL,TE,12.4,-101.5,-98.4,-117.7,,,,300.0
Jared Wiley,KC,TE,12.4,-101.5,-98.4,-117.7,Jared,Wiley,KC,300.0
Hunter Long,LAR,TE,10.8,-103.1,-100.0,-119.3,,,,300.0
Ko Kieft,TB,TE,11.0,-102.9,-99.8,-119.1,,,,300.0
Lucas Krull,DEN,TE,11.2,-102.7,-99.6,-118.9,,,,300.0
Giovanni Ricci,CLE,TE,10.600000000000001,-103.3,-100.2,-119.5,,,,300.0
Tip Reiman,ARI,TE,10.9,-103.0,-99.9,-119.2,,,,300.0
Charlie Woerner,ATL,TE,5.300000000000001,-108.6,-105.5,-124.8,,,,300.0
Younghoe Koo,ATL,K,148.0,17.0,17.0,17.0,Younghoe,Koo,ATL,291.4
Harrison Butker,KC,K,142.0,11.0,11.0,11.0,Harrison,Butker,KC,290.8
Justin Tucker,BAL,K,138.0,7.0,7.0,7.0,Justin,Tucker,BAL,284.1
Brandon Aubrey,DAL,K,137.0,6.0,6.0,6.0,Brandon,Aubrey,DAL,288.2
Ka'imi Fairbairn,HOU,K,136.0,5.0,5.0,5.0,Ka'imi,Fairbairn,HOU,293.6
Jake Elliott,PHI,K,135.0,4.0,4.0,4.0,Jake,Elliott,PHI,292.1
Jake Moody,SF,K,133.0,2.0,2.0,2.0,Jake,Moody,SF,300.0
Jason Myers,SEA,K,132.0,1.0,1.0,1.0,Jason,Myers,SEA,300.0
Evan McPherson,CIN,K,132.0,1.0,1.0,1.0,Evan,McPherson,CIN,289.5
Greg Zuerlein,NYJ,K,131.0,0.0,0.0,0.0,,,,300.0
Cameron Dicker,LAC,K,131.0,0.0,0.0,0.0,Cameron,Dicker,LAC,300.0
Jason Sanders,MIA,K,129.0,-2.0,-2.0,-2.0,Jason,Sanders,MIA,300.0
Matt Gay,IND,K,129.0,-2.0,-2.0,-2.0,Matt,Gay,IND,300.0
Blake Grupe,NO,K,129.0,-2.0,-2.0,-2.0,,,,300.0
Cairo Santos,CHI,K,128.0,-3.0,-3.0,-3.0,,,,300.0
Tyler Bass,BUF,K,128.0,-3.0,-3.0,-3.0,Tyler,Bass,BUF,300.0
Anders Carlson,GB,K,126.0,-5.0,-5.0,-5.0,,,,300.0
Dustin Hopkins,CLE,K,126.0,-5.0,-5.0,-5.0,,,,300.0
Chase McLaughlin,TB,K,126.0,-5.0,-5.0,-5.0,,,,300.0
Joshua Karty,LAR,K,125.0,-6.0,-6.0,-6.0,,,,300.0
Michael Badgley,DET,K,123.0,-8.0,-8.0,-8.0,,,,300.0
Matt Prater,ARI,K,121.0,-10.0,-10.0,-10.0,,,,300.0
Chris Boswell,PIT,K,115.0,-16.0,-16.0,-16.0,,,,300.0
Wil Lutz,DEN,K,115.0,-16.0,-16.0,-16.0,,,,300.0
Will Reichard,MIN,K,113.0,-18.0,-18.0,-18.0,,,,300.0
Daniel Carlson,LV,K,112.0,-19.0,-19.0,-19.0,Daniel,Carlson,LV,300.0
Nick Folk,TEN,K,112.0,-19.0,-19.0,-19.0,,,,300.0
Eddy Pineiro,CAR,K,112.0,-19.0,-19.0,-19.0,,,,300.0
Graham Gano,NYG,K,103.0,-28.0,-28.0,-28.0,,,,300.0
Ramiz Ahmed,WAS,K,102.0,-29.0,-29.0,-29.0,,,,300.0
Chad Ryland,NE,K,95.0,-36.0,-36.0,-36.0,,,,300.0
Cam Little,JAX,K,84.0,-47.0,-47.0,-47.0,,,,300.0
Riley Patterson,JAX,K,77.0,-54.0,-54.0,-54.0,,,,300.0
Dallas Cowboys,Dallas Cowboys,DST,123.0,8.0,8.0,8.0,,,,300.0
Baltimore Ravens,Baltimore Ravens,DST,122.0,7.0,7.0,7.0,,,,300.0
Buffalo Bills,Buffalo Bills,DST,120.0,5.0,5.0,5.0,,,,300.0
Indianapolis Colts,Indianapolis Colts,DST,120.0,5.0,5.0,5.0,,,,300.0
Cleveland Browns,Cleveland Browns,DST,120.0,5.0,5.0,5.0,,,,300.0
New York Jets,New York Jets,DST,120.0,5.0,5.0,5.0,,,,300.0
Cincinnati Bengals,Cincinnati Bengals,DST,119.0,4.0,4.0,4.0,,,,300.0
Philadelphia Eagles,Philadelphia Eagles,DST,119.0,4.0,4.0,4.0,,,,300.0
Houston Texans,Houston Texans,DST,119.0,4.0,4.0,4.0,,,,300.0
Pittsburgh Steelers,Pittsburgh Steelers,DST,115.0,0.0,0.0,0.0,,,,300.0
Miami Dolphins,Miami Dolphins,DST,115.0,0.0,0.0,0.0,,,,300.0
Los Angeles Chargers,Los Angeles Chargers,DST,114.0,-1.0,-1.0,-1.0,,,,300.0
Kansas City Chiefs,Kansas City Chiefs,DST,113.0,-2.0,-2.0,-2.0,,,,300.0
New Orleans Saints,New Orleans Saints,DST,112.0,-3.0,-3.0,-3.0,,,,300.0
New York Giants,New York Giants,DST,111.0,-4.0,-4.0,-4.0,,,,300.0
Washington Commanders,Washington Commanders,DST,111.0,-4.0,-4.0,-4.0,,,,300.0
Jacksonville Jaguars,Jacksonville Jaguars,DST,111.0,-4.0,-4.0,-4.0,,,,300.0
San Francisco 49ers,San Francisco 49ers,DST,111.0,-4.0,-4.0,-4.0,,,,300.0
Green Bay Packers,Green Bay Packers,DST,110.0,-5.0,-5.0,-5.0,,,,300.0
Seattle Seahawks,Seattle Seahawks,DST,109.0,-6.0,-6.0,-6.0,,,,300.0
Detroit Lions,Detroit Lions,DST,109.0,-6.0,-6.0,-6.0,,,,300.0
Tampa Bay Buccaneers,Tampa Bay Buccaneers,DST,109.0,-6.0,-6.0,-6.0,,,,300.0
Denver Broncos,Denver Broncos,DST,108.0,-7.0,-7.0,-7.0,,,,300.0
Las Vegas Raiders,Las Vegas Raiders,DST,106.0,-9.0,-9.0,-9.0,,,,300.0
Minnesota Vikings,Minnesota Vikings,DST,106.0,-9.0,-9.0,-9.0,,,,300.0
Chicago Bears,Chicago Bears,DST,104.0,-11.0,-11.0,-11.0,,,,300.0
Atlanta Falcons,Atlanta Falcons,DST,104.0,-11.0,-11.0,-11.0,,,,300.0
Tennessee Titans,Tennessee Titans,DST,103.0,-12.0,-12.0,-12.0,,,,300.0
New England Patriots,New England Patriots,DST,103.0,-12.0,-12.0,-12.0,,,,300.0
Los Angeles Rams,Los Angeles Rams,DST,101.0,-14.0,-14.0,-14.0,,,,300.0
Arizona Cardinals,Arizona Cardinals,DST,100.0,-15.0,-15.0,-15.0,,,,300.0
Carolina Panthers,Carolina Panthers,DST,98.0,-17.0,-17.0,-17.0,,,,300.0
